holdings,shares
EBF,685494
ENVA,919814
ENPH,3208700
NPO,573847
ENSG,1448861
ESGR,332621
ETTX,79862
ENTG,3803568
ETM,3068567
ETR,5651717
EBTC,225486
EFSC,736327
EVC,1349893
ELA,489201
ENVB,66353
ENV,1439558
NVST,4511262
ENZ,1599239
EOG,16461977
EOSE,1325300
EPAM,1498123
EPZM,2318162
PLUS,363496
EPR,2107276
EPSN,353256
EQT,7847593
EFX,3427479
EQ,426233
EQIX,2513668
EQH,11326838
ETRN,11593808
EQBK,427600
EQC,3200164
ELS,4631600
EQR,10511580
ERIE,711038
ESCA,302732
ESE,721452
ESPR,757091
ESP,36520
ESQ,175811
ESSA,341708
ESNT,3016112
EPRT,2932167
WTRG,6866240
ESS,1843209
EL,5745866
ETH,587233
ETON,419065
ETSY,3555206
EEFT,1399995
EVBN,126204
EVLO,761313
EB,1886166
EVBG,983290
EVR,975724
RE,1128882
EVRG,6405231
EVRI,2393035
EVER,397720
ES,9662357
MRAM,486438
EVTC,2001893
EVI,177993
EVOP,1274287
EVFM,1887794
EVOK,738992
EVH,2179109
EOLS,445555
EPM,642835
EVOL,72375
AQUA,3378960
SSP,1493978
EXAS,4487712
XGN,209758
XELA,545086
EXEL,8756303
EXC,27458297
XCUR,1638717
EXLS,925961
XONE,441158
EXPI,1770658
EXPE,3838283
EXPD,4765216
EXPO,1449456
EXPR,1623329
STAY,4470038
EXTN,707082
EXR,3649902
XOG,20998
EXTR,3337339
XOM,119254783
EYEN,418511
EYPT,601633
EZPW,1604531
—,61021
FSTX,333742
FFIV,1734192
FN,1029532
FB,67784937
FDS,1070673
FICO,779271
FLMN,1003296
FARM,544752
FMAO,285938
FMNB,673492
FPI,862728
FARO,487258
FAST,16199795
FSLY,2601203
FATE,2201446
FTHM,128185
FBK,923702
FFG,261551
AGM.A,35652
AGM,227177
FRT,2143509
FSS,1668644
FHI,2661600
FDX,6669136
FNHC,279982
FOE,2391583
FFBW,139598
FGF,34257
FGEN,2314837
FDBC,106859
FNF,7871168
FIS,17495797
FRGI,530508
FITB,20127473
FISI,420661
FEYE,6088685
FAF,2989530
FNLC,340789
FBP,6165562
FBNC,790710
FBMS,608427
FRBA,670079
BUSE,1484826
FBIZ,259734
FCAP,95479
FCBP,307920
FCNCA,134774
FCF,2945269
FCBC,418922
FCCO,186000
FFBC,2608113
FFIN,3760105
THFF,340733
FFNW,224248
FFWM,1036307
FGBI,140910
FHB,3661083
FHN,15725183
FR,3605062
INBK,336800
FIBK,1128730
FRME,1550849
FMBH,317305
FMBI,3182188
FNWB,162578
FLIC,587950
FRC,4912980
FSFG,66497
FSLR,2543395
FUNC,282251
MYFW,135093
FCFS,1096769
FE,15313051
FISV,16074064
FSR,3492478
FIVE,1577089
FPRX,1159375
FVE,623978
FIVN,1857087
FBC,1446950
FLT,2353758
FSI,86857
FLXN,1255011
FPAY,424874
FLXS,208316
FLIR,3709326
FND,2786741
FTK,1909932
FLO,5261324
FLS,3677819
FLNT,1044001
FLDM,2110246
FLR,3534416
FFIC,719396
FLUX,96492
FMC,3666028
FNB,9067504
FNCB,465227
FOCS,1015619
FHTX,230182
FONR,282938
FL,2952284
F,110288040
GEG,837425
FOR,469905
FMTX,527745
FORM,2157307
FORR,324176
FBRX,270388
FRTA,836228
FTNT,3886464
FTV,9043232
FBIO,1934211
FBHS,3926766
FET,137230
FWRD,752775
FOSL,1317468
FCPT,2061008
FOXA,8939899
FOX,4993067
FOXF,1175308
FRG,1001263
FC,450306
FELE,1082176
FRAF,56128
BEN,8530157
FSP,2751706
FCX,40996644
RAIL,242168
FEIM,197467
FREQ,792410
FDP,953235
FRPT,1147794
FRD,129003
FTDR,2400352
FTBK,1
FRPH,135822
FSBW,141563
FTNW,84180
FCN,1000844
FTSI,365359
FUBO,1530985
FTEK,467755
FCEL,8876072
FULC,488056
FLGT,374813
FLL,792857
FULT,4483466
FNKO,568405
FF,738279
FVCB,423503
GIII,1142800
GTHX,829787
GAIA,441120
GALT,1065160
GRTX,308571
GBL,148087
GME,1471585
GLPI,6231736
GCI,3486743
GPS,7943469
GRMN,4313480
IT,2391078
GTES,1640606
GATO,608597
GATX,979361
GCMG,5214231
GCP,1705037
GNSS,1164528
GENC,598508
GNRC,1772983
GD,6872958
GE,247089233
GFN,463554
GIS,17243039
GM,34322955
GBIO,922753
GCO,406279
GEN,1961521
GNE,866606
GNMK,1900303
GNCA,1292641
G,5317597
GNTX,6934045
THRM,895589
GPC,4066769
GNW,14299957
GEO,3282925
GEOS,539672
GABC,731286
GERN,8886403
GTY,1015263
GEVO,3199210
ROCK,904959
GILD,35357546
GBCI,2659522
GOOD,1007035
LAND,913080
GLT,1243016
GKOS,1196728
GBT,1758437
GMRE,1226335
GNL,2469000
GPN,8443159
SELF,358172
GWRS,616389
GSAT,15778403
GL,2658015
GMED,2144990
GLUU,4053200
GLYC,1643582
GMS,1121735
GDDY,4740646
GOGO,1107527
GOCO,1791833
GORO,2124067
GDEN,548659
AUMN,4693586
GNOG,454575
GS,9708728
GTIM,350735
GDP,272216
GDRX,1181242
GT,6516963
GSHD,445839
GPRO,3476996
GRC,613367
GOSS,1766602
GPX,450656
GGG,4711381
EAF,3769566
GHM,354830
GHC,106848
LOPE,1319199
GVA,1311897
GPMT,1577711
GPK,7685363
GTN,2261501
GRAY,78389
AJX,604493
GLDD,1690797
GSBC,356024
GWB,1536952
GRBK,857010
GDOT,1280213
GPRE,1158943
GBX,878420
GCBC,88514
GHL,397977
GNLN,154563
GLRE,879826
GSKY,1659162
GLSI,11700
GEF,907469
GEF.B,21694
GDYN,1043992
GFF,1475030
GRTS,617405
GO,2368575
GPI,489073
GRPN,683585
GRWG,1223401
GRUB,2618955
GVP,541861
GSIT,567744
GTT,808106
GTYH,1589853
GNTY,256146
GFED,20293
GH,2398925
GHSI,2281099
GES,1085316
GWRE,2357168
GHLD,171100
GIFI,568490
HEES,889492
HRB,5467100
HCKT,692045
HAE,1430042
HAIN,2386185
HOFV,970454
HNRG,415417
HAL,23702367
HALL,520624
HALO,3816157
HBB,194832
HLNE,777701
HWC,2437165
HBI,9849098
HNGR,1029604
HAFC,924660
HASI,1999782
THG,940596
HCDI,238051
HONE,463264
HOG,4324753
HLIT,2674842
HRMY,80904
HARP,484912
HROW,771304
HSC,2221152
HIG,10108828
HBIO,1202256
HNR,51829
HAS,3666922
HVT,406971
HE,2889654
HA,1240968
HWKN,282734
HWBK,142021
HAYN,365780
FUL,1447874
HBT,254362
HCHC,860211
HCA,7633393
HCI,178738
HCAT,900458
HR,3836852
HCSG,2080205
HTA,6190882
HQY,2313773
PEAK,15197251
HSTM,748366
HTLD,1278160
HTLF,1064770
HTBX,612227
HL,14927469
HEI.A,2775142
HEI,589209
HSII,519570
HELE,716427
HLIO,837226
HSDT,8413
HLX,3871566
HP,2901182
HMTV,478202
HNNA,136122
HSIC,4021693
HEPA,2069200
HLF,2953169
HRI,684043
HTBK,1572838
HFWA,1006063
HGBL,1038137
HRTG,820505
HCCI,462623
MLHR,1663312
HRTX,2555440
HT,1217688
HSY,4161234
HSKA,248317
HES,7804758
HPE,36262314
HXL,2356920
HFFG,1087129
HIBB,448782
HPK,2449321
HPR,26374
HIW,2931775
HIL,839631
HRC,1883903
HI,1843446
HTH,1844658
HGV,2378383
HLT,7825043
HIFS,48099
HQI,226454
HSTO,87394
HMSY,2488814
HNI,1200387
