tickers,shares,,,,,
AUBANK,57290,,,,,
AUB,23446,,,,,
AIA,431951,,,,,
AD8,10282,,,,,
AUDC,9082,,,,,
3324,38000,,,,,
AMI,391770,,,,,
AZJ,674811,,,,,
AUROPHARMA,102689,,,,,
ACB,72647,,,,,
NDA,12958,,,,,
AST,686120,,,,,
1717,249000,,,,,
ASB,109789,,,,,
AUSS,31649,,,,,
ANZ,1099309,,,,,
AAC,198343,,,,,
AEF,42777,,,,,
AFG,158045,,,,,
API,154238,,,,,
ASM,55606,,,,,
AUTO,456016,,,,,
9832,19800,,,,,
603658,5400,,,,,
ADSK,86183,,,,,
AGL,49092,,,,,
ATHM,25752,,,,,
2518,5444,,,,,
ALV,33417,,,,,
ADP,166585,,,,,
AN,21279,,,,,
AUTN,940,,,,,
AZO,8873,,,,,
AVLR,33498,,,,,
AVB,55035,,,,,
AGR,20129,,,,,
AVNS,17092,,,,,
AVANTIFEED,29194,,,,,
AVTR,198932,,,,,
AZA,45533,,,,,
002938,24400,,,,,
AVST,207871,,,,,
AVYA,29143,,,,,
AVN,159073,,,,,
DMART,60149,,,,,
AVY,32981,,,,,
AVV,42335,,,,,
7860,14500,,,,,
AVI,181259,,,,,
000768,76900,,,,,
600862,40000,,,,,
600705,151600,,,,,
002013,77600,,,,,
600765,23200,,,,,
002179,27300,,,,,
600760,32397,,,,,
2357,907000,,,,,
600038,16400,,,,,
AVNT,33621,,,,,
CAR,19483,,,,,
AVA,26767,,,,,
AV.,1519490,,,,,
AVT,34681,,,,,
AVON,9861,,,,,
8388,12200,,,,,
CS,739483,,,,,
AXTA,79782,,,,,
AXFO,39318,,,,,
8255,5199,,,,,
AXIATA,1669251,,,,,
AXISBANK,874413,,,,,
AXS,29515,,,,,
AXREIT,380700,,,,,
AXON,24758,,,,,
AX,25745,,,,,
AXSM,10124,,,,,
AXTELCPO,542336,,,,,
AC,127735,,,,,
ALI,2962900,,,,,
AYGAZ,12065,,,,,
6845,48000,,,,,
AZEK,33534,,,,,
AZM,43490,,,,,
AZRG,13566,,,,,
AZUL4,135636,,,,,
AZZ,8800,,,,,
BGRIM-F,235500,,,,,
BGS,23601,,,,,
BME,338208,,,,,
BSGR,7543,,,,,
300451,39200,,,,,
BTO,376471,,,,,
BTOW3,74987,,,,,
B3SA3,789894,,,,,
BAB,88053,,,,,
BBN,48163,,,,,
BANB,1971,,,,,
BMI,10266,,,,,
BA.,1268351,,,,,
603489,3100,,,,,
1958,735900,,,,,
BIDU,109216,,,,,
9888,14288,,,,,
BAJAJ-AUTO,29183,,,,,
BAJAJCON,18819,,,,,
BAJFINANCE,86492,,,,,
BAJAJFINSV,15280,,,,,
BAJAJHLDNG,9560,,,,,
BKR,260506,,,,,
BAKKA,18979,,,,,
BAKK,46001,,,,,
BCPC,11606,,,,,
BBY,253932,,,,,
BALKRISIND,28357,,,,,
BLL,123369,,,,,
BLDP,96245,,,,,
BALN,17925,,,,,
BALRAMCHIN,46302,,,,,
BFF,90996,,,,,
BGN,21790,,,,,
IF,6213,,,,,
BMED,98221,,,,,
BMPS,71774,,,,,
BPSO,156731,,,,,
TLV,1832184,,,,,
BANF,7139,,,,,
BBVA,2597840,,,,,
