tickers,shares,,,,,
003690,28052,,,,,
KORI,23800,,,,,
KFY,19529,,,,,
KRNT,17082,,,,,
4922,10700,,,,,
2157,13904,,,,,
KOS,153446,,,,,
KOSSAN,507100,,,,,
KAPCO,303500,,,,,
2222,7400,,,,,
7554,4200,,,,,
KOZAL,19560,,,,,
KOZAA,59315,,,,,
KPJ,816700,,,,,
KHC,251447,,,,,
KRAS,1444300,,,,,
KRA,11698,,,,,
KTOS,44787,,,,,
KRBL,28058,,,,,
KREN,4091300,,,,,
KR,294336,,,,,
KRN,5577,,,,,
5352,1900,,,,,
KRU,5987,,,,,
Foreign,2164475,,,,,
KTC-F,464100,,,,,
053210,3297,,,,,
033780,40833,,,,,
030210,17627,,,,,
1024,103100,,,,,
KLK,191600,,,,,
002625,72100,,,,,
6326,430700,,,,,
KNIN,19415,,,,,
078130,26987,,,,,
KLIC,22900,,,,,
1861,13300,,,,,
KIO,19869,,,,,
002990,8282,,,,,
011780,6429,,,,,
073240,50020,,,,,
4996,37263,,,,,
1537,19000,,,,,
KLED,65640,,,,,
135,1184000,,,,,
603626,12100,,,,,
8936,127374,,,,,
2505,116000,,,,,
2695,4100,,,,,
3106,6300,,,,,
3405,148900,,,,,
4023,6700,,,,,
5602,3900,,,,,
6370,43400,,,,,
3549,5900,,,,,
KFH,1471931,,,,,
KIB,214350,,,,,
KPROJ,352864,,,,,
009290,11125,,,,,
600519,34899,,,,,
1813,481500,,,,,
3913,310750,,,,,
KWS,4100,,,,,
7242,5900,,,,,
030610,4032,,,,,
6971,120000,,,,,
7914,3900,,,,,
5440,5800,,,,,
7226,9500,,,,,
8706,6700,,,,,
1301,3500,,,,,
4569,14900,,,,,
9616,7972,,,,,
6742,15000,,,,,
1951,41000,,,,,
4151,93200,,,,,
1959,18100,,,,,
9508,172900,,,,,
7180,154670,,,,,
9142,63124,,,,,
LB,91551,,,,,
LUND B,26161,,,,,
290650,3390,,,,,
066970,6824,,,,,
6139,65000,,,,,
L&TFH,316441,,,,,
LTTS,10273,,,,,
973,169500,,,,,
,,,,,,
,,,,,,
OR,32833,,,,,
LHX,81187,,,,,
LACOMERUBC,187574,,,,,
FDJ,32401,,,,,
LZB,16433,,,,,
ROVI,7063,,,,,
LH,37758,,,,,
LADR,35226,,,,,
LHN,164275,,,,,
LHN,34256,,,,,
MMB,41529,,,,,
LAXMIMACH,2182,,,,,
LRCX,55795,,,,,
LAMR,31982,,,,,
LW,58718,,,,,
LAMDA,22404,,,,,
LRE,83714,,,,,
LANC,6926,,,,,
LH-F,850100,,,,,
LH-R,1482900,,,,,
LAND,266099,,,,,
582,28100,,,,,
LAND,9166,,,,,
3081,21600,,,,,
LSTR,15146,,,,,
LXS,35716,,,,,
600612,24300,,,,,
900905,110794,,,,,
603883,10220,,,,,
8202,23300,,,,,
LRE,21012,,,,,
3008,39020,,,,,
LTI,15298,,,,,
LT,234319,,,,,
LVS,130804,,,,,
3466,469,,,,,
6920,28400,,,,,
LTM,77515,,,,,
LSCC,50443,,,,,
LAUR,39147,,,,,
LB,15982,,,,,
LAURUSLABS,145298,,,,,
2651,17500,,,,,
LAZ,37530,,,,,
LCII,8952,,,,,
1444,470000,,,,,
LEA,24951,,,,,
7874,9000,,,,,
2314,549000,,,,,
950,147500,,,,,
1830,7421,,,,,
058470,3432,,,,,
LEG,29358,,,,,
LGEN,2318140,,,,,
3396,275100,,,,,
LEG,55154,,,,,
141080,5864,,,,,
LR,104515,,,,,
LDOS,53392,,,,,
LEHN,187,,,,,
LMND,12577,,,,,
TREE,4093,,,,,
JYEU,306600,,,,,
LLC,253816,,,,,
LSNGP,65770,,,,,
LEN,108140,,,,,
LEN.B,4965,,,,,
LII,13506,,,,,
992,2946000,,,,,
300433,133400,,,,,
LNZ,6768,,,,,
002131,162800,,,,,
LDO,146274,,,,,
LHI,321800,,,,,
LEON,3057,,,,,
8848,75300,,,,,
300003,53900,,,,,
LSG,89797,,,,,
GOW,3921,,,,,
LX,37354,,,,,
LXP,96384,,,,,
300296,63400,,,,,
093050,4969,,,,,
051915,4576,,,,,
051910,17076,,,,,
003550,36266,,,,,
034220,80159,,,,,
066575,11659,,,,,
066570,40017,,,,,
108670,1962,,,,,
051905,1115,,,,,
051900,3292,,,,,
011070,4939,,,,,
001120,8296,,,,,
032640,87571,,,,,
LGIH,7785,,,,,
LHCG,11486,,,,,
LI,164861,,,,,
4426,28407,,,,,
2331,824749,,,,,
1447,240600,,,,,
002036,44500,,,,,
002250,22800,,,,,
600739,38000,,,,,
LBK,481493,,,,,
LBRDA,8298,,,,,
LBRDK,63162,,,,,
LBTYA,82040,,,,,
LBTYK,133980,,,,,
LBH,40336,,,,,
LILA,22191,,,,,
LILAK,54133,,,,,
BATRA,5866,,,,,
BATRK,11018,,,,,
FWONA,38030,,,,,
FWONK,58459,,,,,
LSXMA,38791,,,,,
LSXMK,63083,,,,,
LICHSGFIN,109168,,,,,
1229,304685,,,,,
LIFCO B,16909,,,,,
8194,6300,,,,,
LHC,500767,,,,,
LSI,27138,,,,,
LIC,32898,,,,,
1212,179000,,,,,
1302,759998,,,,,
2120,21100,,,,,
079550,5464,,,,,
LGND,5069,,,,,
LIGT3,151589,,,,,
LSPD,26377,,,,,
LNR,16299,,,,,
LECO,23320,,,,,
LNC,76844,,,,,
LIAB,40918,,,,,
LIN,203456,,,,,
LNN,3923,,,,,
2369,125000,,,,,
2183,1300,,,,,
LNK,181410,,,,,
2170,15500,,,,,
823,837990,,,,,
7966,16600,,,,,
LINX3,52500,,,,,
4912,102100,,,,,
LGF.A,29135,,,,,
LGF.B,34564,,,,,
LPKR,19524292,,,,,
D5IU,2006940,,,,,
LNG,123849,,,,,
,,,,,,
FII,1767,,,,,
7366,2700,,,,,
2301,1001988,,,,,
LAD,9776,,,,,
LFUS,10630,,,,,
LIVN,17983,,,,,
LYV,56133,,,,,
LTHM,55282,,,,,
LPSN,23169,,,,,
RAMP,23422,,,,,
1513,75806,,,,,
5938,97700,,,,,
LKQ,120776,,,,,
LLOY,27446172,,,,,
L,63935,,,,,
RENT3,208757,,,,,
LWSA3,154637,,,,,
115390,5144,,,,,
LMT,95740,,,,,
L,88141,,,,,
LOGG3,29615,,,,,
3380,452000,,,,,
LOGN,58728,,,,,
LOGO,4988,,,,,
LAME4,336853,,,,,
LAME3,74565,,,,,
LJQQ3,54300,,,,,
LREN3,300404,,,,,
002601,60100,,,,,
LSEG,140386,,,,,
LMP,309315,,,,,
850,1348000,,,,,
L4L,272592,,,,,
1909,338689,,,,,
960,744100,,,,,
601012,99689,,,,,
300682,32400,,,,,
3339,877000,,,,,
LONN,28879,,,,,
LOOMIS,28386,,,,,
3533,23198,,,,,
011170,5556,,,,,
LCTITAN,159300,,,,,
005300,1540,,,,,
280360,340,,,,,
004990,10895,,,,,
004000,5575,,,,,
002270,162,,,,,
071840,5257,,,,,
330590,64933,,,,,
023530,4432,,,,,
032350,9679,,,,,
1795,39000,,,,,
LPX,40496,,,,,
LOV,16436,,,,,
LOW,284789,,,,,
LPLA,29718,,,,,
LPN-F,284600,,,,,
LPP,413,,,,,
006260,5861,,,,,
010120,5854,,,,,
LSRG,12788,,,,,
LTG,1264300,,,,,
LTC,26634,,,,,
LUCK,52200,,,,,
600167,43800,,,,,
LU,66332,,,,,
590,126000,,,,,
LULU,44165,,,,,
LUMN,426053,,,,,
LITE,27911,,,,,
LMNX,15000,,,,,
LUN,238944,,,,,
LUNE,70074,,,,,
5530,67000,,,,,
002793,46318,,,,,
LUPIN,95035,,,,,
085370,5622,,,,,
000830,60000,,,,,
002475,180069,,,,,
2186,585000,,,,,
000568,38500,,,,,
95,332000,,,,,
MC,96790,,,,,
LYFT,98621,,,,,
LYC,339579,,,,,
LYB,100948,,,,,
MDIA3,37300,,,,,
6080,4400,,,,,
MNG,1029505,,,,,
MTB,50537,,,,,
MVID,12400,,,,,
2413,165838,,,,,
323,674000,,,,,
MABANEE,183453,,,,,
6592,18100,,,,,
MLD,54308,,,,,
300463,12500,,,,,
MAC,55331,,,,,
3563,10404,,,,,
CLI,38511,,,,,
MAH,608142,,,,,
3132,18500,,,,,
MTSI,17171,,,,,
MQG,127553,,,,,
MIC,25447,,,,,
FIBRAMQ12,291700,,,,,
3978,19300,,,,,
2337,678903,,,,,
M,115978,,,,,
MSGS,6721,,,,,
MSGE,6721,,,,,
MDGL,3051,,,,,
1824,47200,,,,,
7821,15100,,,,,
1883,13400,,,,,
267980,1169,,,,,
6485,8600,,,,,
MGLU3,1027264,,,,,
MFG,49731,,,,,
MGLN,9891,,,,,
MG,108163,,,,,
MGNT,55799,,,,,
MGNT,15620,,,,,
MGNI,41663,,,,,
MAGN,665331,,,,,
MGY,47379,,,,,
MAGNUM,267549,,,,,
MTELEKOM,106612,,,,,
MGL,18656,,,,,
M&MFIN,229981,,,,,
M&M,315672,,,,,
MAHINDCIE,54994,,,,,
LEVE3,12100,,,,,
MT,45145,,,,,
MDM,14100,,,,,
MAJOR-F,203500,,,,,
1477,76985,,,,,
MMYT,17997,,,,,
6135,6600,,,,,
6586,95800,,,,,
MALAKOF,956400,,,,,
MAYBANK,2295181,,,,,
AIRPORT,407700,,,,,
MBSB,1037300,,,,,
MPI,31000,,,,,
MRCB,667900,,,,,
EMG,538956,,,,,
1999,547600,,,,,
MANAPPURAM,228561,,,,,
204320,11620,,,,,
4917,11800,,,,,
MRPL,45416,,,,,
300413,44026,,,,,
MANH,23628,,,,,
7730,22000,,,,,
MER,100695,,,,,
MWC,427700,,,,,
MTU,3706,,,,,
MAN,21683,,,,,
MANT,9848,,,,,
MFC,753220,,,,,
BTOU,562754,,,,,
1896,75600,,,,,
MAP,375765,,,,,
MFI,34402,,,,,
N2IU,931759,,,,,
ME8U,598715,,,,,
M44U,1188347,,,,,
RW0U,786800,,,,,
MRO,300088,,,,,
MPC,254501,,,,,
POMO4,231609,,,,,
MMI,11387,,,,,
MRFG3,132491,,,,,
MARICO,176927,,,,,
MKL,5402,,,,,
MKTX,14473,,,,,
600337,104000,,,,,
MKS,710831,,,,,
MMM,117806,,,,,
MARR,13886,,,,,
MAR,105063,,,,,
VAC,14993,,,,,
6419,7200,,,,,
MMC,195203,,,,,
MSLH,70537,,,,,
MARS,206584,,,,,
MLM,24578,,,,,
MRE,29300,,,,,
8002,628128,,,,,
2288,6800,,,,,
1333,14100,,,,,
8252,75600,,,,,
5463,22700,,,,,
8613,16100,,,,,
MARUTI,49044,,,,,
5344,2800,,,,,
9090,15264,,,,,
9068,5000,,,,,
MRVL,260224,,,,,
7844,7600,,,,,
MSP,167179,,,,,
MAS,100385,,,,,
MASI,19843,,,,,
DOOR,10891,,,,,
MARK,1384714,,,,,
MSM,31813,,,,,
MTZ,21115,,,,,
MA,343114,,,,,
MTDR,41404,,,,,
LPPF,925000,,,,,
MTCH,87449,,,,,
MTRN,7432,,,,,
MTRX,12675,,,,,
MATX,3700,,,,,
7456,4300,,,,,
8628,31800,,,,,
3088,28500,,,,,
8237,13300,,,,,
9887,10600,,,,,
MAT,129261,,,,,
MATW,11719,,,,,
MAVI,18167,,,,,
6454,13600,,,,,
MFSL,83775,,,,,
6810,26800,,,,,
MAXN,3643,,,,,
MXIM,104379,,,,,
MMS,24762,,,,,
MAXIS,1093900,,,,,
MXL,25022,,,,,
300782,3900,,,,,
8198,3600,,,,,
MYX,564865,,,,,
MYOR,1335900,,,,,
MMK,2996,,,,,
MTRN,15049,,,,,
7261,211000,,,,,
MBK,4232,,,,,
MBK-F,185300,,,,,
MCB,180931,,,,,
MKC,96833,,,,,
MCD,288860,,,,,
MGRC,8629,,,,,
6670,43600,,,,,
MCK,61904,,,,,
MMS,15440,,,,,
097520,5314,,,,,
MDC,21292,,,,,
MDU,79086,,,,,
7167,354750,,,,,
MTLRP,107310,,,,,
MTLR,111128,,,,,
MOVE,2055,,,,,
MDLA,28140,,,,,
MEDC,3935581,,,,,
3678,1830,,,,,
MNCN,1784200,,,,,
TL5,52714,,,,,
MS,104006,,,,,
2454,571558,,,,,
MPL,1124198,,,,,
3902,5500,,,,,
MPW,232641,,,,,
MCGS,56678,,,,,
MDC,150351,,,,,
MCOV B,21610,,,,,
MED,4192,,,,,
3176,49000,,,,,
6547,57591,,,,,
MNHD,160330,,,,,
MB,289951,,,,,
7459,55400,,,,,
078160,4816,,,,,
8030,20293,,,,,
MD,28400,,,,,
MEDP,9942,,,,,
235980,4422,,,,,
6095,6011,,,,,
MDT,519202,,,,,
086900,1544,,,,,
MEG,105341,,,,,
2886,4161769,,,,,
MFCB,99400,,,,,
MEGA-F,983800,,,,,
MGOR,8209,,,,,
MEGACPO,103462,,,,,
6875,6500,,,,,
MP1,51207,,,,,
MEG,4417900,,,,,
MGGT,295147,,,,,
2270,13800,,,,,
6508,15500,,,,,
2269,53534,,,,,
002044,81640,,,,,
1976,12500,,,,,
9744,9600,,,,,
1357,578500,,,,,
3690,1406560,,,,,
MEKO,13668,,,,,
6676,4900,,,,,
200,278000,,,,,
MELE,6572,,,,,
MEL,37871,,,,,
MLSR,7323,,,,,
MRO,1915982,,,,,
7780,9400,,,,,
MMHD,9950,,,,,
MELI,17812,,,,,
MRC,664,,,,,
MERY,23678,,,,,
MRK,977686,,,,,
MRK,50775,,,,,
2905,158321,,,,,
2867,427015,,,,,
MCY,10101,,,,,
MCY,244972,,,,,
MRCY,23414,,,,,
MDP,15536,,,,,
9914,92400,,,,,
MEL,463257,,,,,
MMSI,19848,,,,,
MTH,13903,,,,,
MTOR,24879,,,,,
138040,12474,,,,,
000060,17906,,,,,
008560,113662,,,,,
MRL,121571,,,,,
2439,70798,,,,,
MRN,4185,,,,,
MPHC,1666185,,,,,
MSB,165895,,,,,
601618,162900,,,,,
1618,1618000,,,,,
GOAU4,270100,,,,,
9551,6400,,,,,
MTS,459054,,,,,
MX,24063,,,,,
2001,21063,,,,,
MEI,12104,,,,,
MET,292459,,,,,
B4B,47590,,,,,
MRU,100744,,,,,
MPI,5426300,,,,,
MMT,22757,,,,,
METROPOLIS,8691,,,,,
MBT,687669,,,,,
MVC,14260,,,,,
METSB,67444,,,,,
MTD,9004,,,,,
140410,1770,,,,,
MFA,150990,,,,,
MGEE,13808,,,,,
MTG,129224,,,,,
2282,288800,,,,,
MGM,187332,,,,,
MIK,31512,,,,,
8350,5500,,,,,
MFGP,52251,,,,,
MCRO,76023,,,,,
2377,263000,,,,,
4128,132000,,,,,
MCHP,99396,,,,,
MU,430847,,,,,
6871,9900,,,,,
853,172852,,,,,
MSFT,2908243,,,,,
MSTR,2876,,,,,
MAA,45147,,,,,
5EN,223900,,,,,
4009,13925,,,,,
MIDD,21694,,,,,
3990,117800,,,,,
3232,15900,,,,,
MGDL,122731,,,,,
MGROS,21713,,,,,
4919,7000,,,,,
603713,4500,,,,,
MTL,12928,,,,,
8155,4300,,,,,
MIME,21402,,,,,
MINDAIND,24984,,,,,
MINDSPACE,75400,,,,,
MINDTREE,15214,,,,,
6479,164384,,,,,
MIN,51875,,,,,
MTX,12500,,,,,
BEEF3,91760,,,,,
601615,26000,,,,,
909,164000,,,,,
9946,2600,,,,,
Foreign,1900530,,,,,
425,264000,,,,,
MIPS,8322,,,,,
4544,18300,,,,,
00680K,68360,,,,,
006800,124006,,,,,
085620,33189,,,,,
3476,348,,,,,
1417,31800,,,,,
MRTX,16099,,,,,
9928,6500,,,,,
MGR,1466156,,,,,
MISC,676521,,,,,
300495,16400,,,,,
9962,110500,,,,,
3706,511589,,,,,
MAB,112927,,,,,
MITRA,4335,,,,,
MTO,444812,,,,,
MAPI,2405000,,,,,
MIKA,1955700,,,,,
7280,12400,,,,,
4188,509784,,,,,
8058,467800,,,,,
6503,773240,,,,,
8802,446291,,,,,
3481,80,,,,,
4182,66200,,,,,
7011,112287,,,,,
7105,21200,,,,,
9301,23800,,,,,
5711,43834,,,,,
7211,240000,,,,,
7976,14100,,,,,
3636,2200,,,,,
7451,5000,,,,,
8306,4814360,,,,,
8593,184200,,,,,
5192,6500,,,,,
8031,640000,,,,,
4183,67300,,,,,
7003,23300,,,,,
8801,367700,,,,,
3471,145,,,,,
6966,8100,,,,,
5706,19600,,,,,
9104,39739,,,,,
2109,5000,,,,,
9302,6800,,,,,
8131,17900,,,,,
6005,36200,,,,,
2121,15024,,,,,
8393,5800,,,,,
MZTF,51441,,,,,
8411,980410,,,,,
8425,14100,,,,,
8022,8000,,,,,
M-F,62900,,,,,
MKSI,21984,,,,,
MPARK,13316,,,,,
002745,45400,,,,,
MNOD,204721,,,,,
1208,862117,,,,,
ZAIN,767489,,,,,
7030,155229,,,,,
MBT,8900,,,,,
MTSS,325942,,,,,
MOBN,3092,,,,,
4534,9542,,,,,
6269,7800,,,,,
MTG B,34962,,,,,
MRNA,111088,,,,,
080160,5632,,,,,
MC,18457,,,,,
MHK,22075,,,,,
MOL,129078,,,,,
MOH,23163,,,,,
TAP,72129,,,,,
MTM,316049,,,,,
MOMO,54687,,,,,
8454,16000,,,,,
MND,29944,,,,,
002918,12415,,,,,
MONC,78394,,,,,
MDLZ,539009,,,,,
MNDI,166095,,,,,
MNP,30941,,,,,
MONET,180939,,,,,
8698,73100,,,,,
MONY,189375,,,,,
MDB,20100,,,,,
3097,4472,,,,,
MPWR,17620,,,,,
3064,88944,,,,,
MNRO,12186,,,,,
MNST,142604,,,,,
688008,30642,,,,,
MONT,4852,,,,,
002123,31300,,,,,
MCO,62716,,,,,
MOG.A,11892,,,,,
MGAM,117909,,,,,
MS,541414,,,,,
3234,449,,,,,
3478,87,,,,,
8961,320,,,,,
2201,13400,,,,,
2264,15400,,,,,
4249,2900,,,,,
6455,16900,,,,,
MORN,8069,,,,,
MOR,12164,,,,,
8153,9300,,,,,
MOS,137488,,,,,
MOEX,554605,,,,,
MSNG,12970038,,,,,
EGL,46843,,,,,
6244,108133,,,,,
MOTHERSUMI,430081,,,,,
MOTILALOFS,14216,,,,,
MOH,19659,,,,,
MSI,66131,,,,,
MTH,53356,,,,,
MGX,286220,,,,,
4002,18693,,,,,
MOVI3,52800,,,,,
MOWI,170529,,,,,
MPHASIS,30185,,,,,
COOP,28308,,,,,
MRP,109200,,,,,
MRF,808,,,,,
MRVE3,92700,,,,,
8725,189456,,,,,
MSA,13678,,,,,
MSM,16568,,,,,
MSCI,31154,,,,,
9438,7000,,,,,
MTN,725356,,,,,
66,529326,,,,,
MTX,21083,,,,,
MTC-F,216700,,,,,
MLI,19420,,,,,
MWA,61520,,,,,
MUV2,54528,,,,,
033920,13269,,,,,
MUHIBAH,220100,,,,,
MTL,32690,,,,,
MCX,2593,,,,,
MCG,163707,,,,,
MULT3,86921,,,,,
MTRS,41835,,,,,
6981,222174,,,,,
MUR,61218,,,,,
MUSA,9633,,,,,
7220,17600,,,,,
8336,10100,,,,,
MUTHOOTFIN,37739,,,,,
002714,93892,,,,,
MYEG,742250,,,,,
MYCR,25020,,,,,
MYR,155860,,,,,
000667,61300,,,,,
MYOV,16279,,,,,
MYGN,26787,,,,,
MYS,32892,,,,,
MYTIL,35506,,,,,
6268,43100,,,,,
6474,7400,,,,,
3918,518000,,,,,
7447,8300,,,,,
8012,36100,,,,,
2899,5500,,,,,
9048,71500,,,,,
3002,28468,,,,,
5408,5000,,,,,
1702,64000,,,,,
025860,8782,,,,,
008350,20329,,,,,
003920,613,,,,,
2101,268493,,,,,
6504,16000,,,,,
4766,34000,,,,,
1303,2229423,,,,,
8046,75000,,,,,
002127,66500,,,,,
300618,10200,,,,,
600282,154100,,,,,
603707,19890,,,,,
601990,91700,,,,,
600682,33100,,,,,
002182,76900,,,,,
9044,40600,,,,,
NAN,89279,,,,,
NSTG,16595,,,,,
2108,128000,,,,,
8367,17500,,,,,
2408,306324,,,,,
002212,31400,,,,,
NFTA,9312,,,,,
NH,24758,,,,,
600406,114400,,,,,
NDAQ,44796,,,,,
NPN,164476,,,,,
NATCOPHARM,33078,,,,,
NTRA,28435,,,,,
,,,,,,
6010,24421,,,,,
NATIONALUM,239421,,,,,
NAB,1273535,,,,,
NA,132547,,,,,
ETE,213183,,,,,
NBK,2573062,,,,,
NBP,129500,,,,,
FIZZ,8696,,,,,
1180,533004,,,,,
NEX,197287,,,,,
NFG,32263,,,,,
2080,13286,,,,,
NG.,1371423,,,,,
NHI,15514,,,,,
2060,116382,,,,,
NIND,378688,,,,,
NATI,47339,,,,,
4005,7877,,,,,
2002,42480,,,,,
NNN,65012,,,,,
NSA,22417,,,,,
NSR,347242,,,,,
EYE,29417,,,,,
KN,317296,,,,,
NTCO3,351911,,,,,
007390,13593,,,,,
NTGY,115063,,,,,
NTUS,11196,,,,,
002371,12200,,,,,
035420,52207,,,,,
NAVI,69370,,,,,
NVG,69036,,,,,
NGI,36584,,,,,
NAVINFLUOR,12037,,,,,
002405,54100,,,,,
NAV,17835,,,,,
300456,19900,,,,,
NBCC,145348,,,,,
NBTB,18378,,,,,
NCC A,1486,,,,,
NCC B,40700,,,,,
NCC,85424,,,,,
NCC,239084,,,,,
NCNO,17386,,,,,
NCR,50795,,,,,
036570,6553,,,,,
NEA,127771,,,,,
8793,2600,,,,,
6701,103000,,,,,
1973,22500,,,,,
NED,132561,,,,,
NP,5900,,,,,
HOME,26333,,,,,
NKTR,64425,,,,,
NEL,500856,,,,,
NELES,37005,,,,,
NNI,6076,,,,,
NEMAKA,299800,,,,,
NEM,20549,,,,,
NEOEN,9248,,,,,
NEOE3,86100,,,,,
NEOG,19536,,,,,
NEO,45177,,,,,
095660,4212,,,,,
033640,6078,,,,,
NRP,151007,,,,,
NESTE,163355,,,,,
NESTLEIND,12425,,,,,
NESTLE,24100,,,,,
NESN,1079113,,,,,
NTHOL,95198,,,,,
7518,30500,,,,,
NTAP,91293,,,,,
NTC,479186,,,,,
NETC,12514,,,,,
777,76000,,,,,
NTES,148846,,,,,
NFLX,165153,,,,,
NTGR,11352,,,,,
CJLU,1078000,,,,,
251270,6365,,,,,
NTCT,38249,,,,,
5976,11600,,,,,
NWL,31459,,,,,
NETW,170718,,,,,
NBIX,38468,,,,,
NVRO,12310,,,,,
NCZ,530714,,,,,
601336,63200,,,,,
1336,310301,,,,,
NHC,68583,,,,,
000876,104100,,,,,
NJR,36607,,,,,
EDU,568298,,,,,
9901,11770,,,,,
NEWR,19352,,,,,
NRZ,149121,,,,,
NWO,985,,,,,
825,390000,,,,,
17,526306,,,,,
NYCB,179988,,,,,
NYT,63901,,,,,
NCM,325924,,,,,
NWL,144985,,,,,
000997,33399,,,,,
NMRK,49545,,,,,
NEU,2495,,,,,
3630,33000,,,,,
NEM,213344,,,,,
NGT,98329,,,,,
342,162000,,,,,
NWSA,149972,,,,,
NWS,52508,,,,,
NEX,11483,,,,,
002350,9585,,,,,
NEXI,182432,,,,,
NXI,14862,,,,,
3659,163324,,,,,
NXST,15703,,,,,
NXT,50863,,,,,
3186,12500,,,,,
NXT,169127,,,,,
1316,312000,,,,,
NEE,759769,,,,,
NXGN,20722,,,,,
NFI,19177,,,,,
5333,105700,,,,,
5334,81000,,,,,
2282,37100,,,,,
NHH,7070,,,,,
005940,52609,,,,,
5991,53800,,,,,
181710,4743,,,,,
060250,4503,,,,,
NHPC,1145792,,,,,
NHF,157218,,,,,
NIBE B,114414,,,,,
EGOV,24776,,,,,
034310,7180,,,,,
030190,10929,,,,,
NICE,24883,,,,,
4541,16950,,,,,
5393,20200,,,,,
4218,5500,,,,,
6996,19800,,,,,
9902,4300,,,,,
3090,68000,,,,,
7943,11300,,,,,
2871,40000,,,,,
5011,8000,,,,,
NIKL,1574100,,,,,
NIC,487238,,,,,
6594,181796,,,,,
NLSN,143235,,,,,
8464,47000,,,,,
7988,30802,,,,,
3341,2600,,,,,
6849,28100,,,,,
2127,98200,,,,,
4997,17100,,,,,
4095,35200,,,,,
4619,7500,,,,,
6788,800,,,,,
8056,26500,,,,,
COFORGE,6173,,,,,
NKE,481222,,,,,
6376,20700,,,,,
9072,17300,,,,,
NKLA,44023,,,,,
7731,114100,,,,,
NLFSK,9210,,,,,
2689,595000,,,,,
NEC,516432,,,,,
002180,19100,,,,,
NY1,98139,,,,,
N91,79686,,,,,
600699,42800,,,,,
601689,21800,,,,,
601018,144600,,,,,
600989,63700,,,,,
7974,41506,,,,,
NIO,483924,,,,,
1881,20000,,,,,
3226,131,,,,,
2108,5900,,,,,
8951,418,,,,,
5302,4200,,,,,
6929,5300,,,,,
6997,5500,,,,,
3315,28400,,,,,
5563,66600,,,,,
1950,11500,,,,,
5214,38000,,,,,
9062,26300,,,,,
2001,16200,,,,,
8174,40200,,,,,
9728,7100,,,,,
4272,57900,,,,,
1954,3800,,,,,
5703,19530,,,,,
4612,320000,,,,,
3863,33100,,,,,
2353,43500,,,,,
3283,637,,,,,
3296,162,,,,,
1938,5200,,,,,
1884,2300,,,,,
7287,17200,,,,,
7102,1200,,,,,
5202,32774,,,,,
4516,18700,,,,,
4114,11900,,,,,
6741,16400,,,,,
4041,16000,,,,,
5401,323058,,,,,
9810,4600,,,,,
1332,92600,,,,,
9432,467300,,,,,
9404,8500,,,,,
6480,15000,,,,,
5480,4449,,,,,
9101,60200,,,,,
8086,42400,,,,,
NML,116000,,,,,
7189,55500,,,,,
9031,26800,,,,,
1820,17000,,,,,
7545,15200,,,,,
9699,5200,,,,,
NI,153823,,,,,
4021,54600,,,,,
7201,763901,,,,,
7222,24000,,,,,
6284,3400,,,,,
7915,16500,,,,,
2602,7400,,,,,
2002,96020,,,,,
3105,50100,,,,,
9066,3800,,,,,
6641,15300,,,,,
2897,26100,,,,,
2117,14800,,,,,
6569,1000,,,,,
9843,29900,,,,,
5186,8100,,,,,
1515,2600,,,,,
3110,10800,,,,,
6988,58900,,,,,
6651,11600,,,,,
6151,4500,,,,,
NIU,10728,,,,,
182400,10750,,,,,
NKT,15558,,,,,
NMC,26225,,,,,
NMDC,422098,,,,,
NMIH,28445,,,,,
NN,122683,,,,,
NOAH,11404,,,,,
NOBI,38056,,,,,
CGP,192460,,,,,
4928,6200,,,,,
4403,24800,,,,,
6744,8500,,,,,
7419,10900,,,,,
7240,43300,,,,,
NOKIA,2196671,,,,,
TYRES,49492,,,,,
NOLA B,6467,,,,,
NOMD,56291,,,,,
9716,28600,,,,,
8604,1190000,,,,,
3231,41700,,,,,
3462,1277,,,,,
4307,98069,,,,,
004370,1103,,,,,
NDA FI,379345,,,,,
NDA SE,927204,,,,,
NDX1,25812,,,,,
NENT B,24917,,,,,
NOD,57139,,,,,
NDSN,22803,,,,,
JWN,40774,,,,,
NSC,97321,,,,,
5331,6200,,,,,
7744,8300,,,,,
5943,14300,,,,,
NOEJ,11081,,,,,
NHY,530049,,,,,
EGATIF-F,425900,,,,,
8524,135700,,,,,
NWC,16800,,,,,
NHM,132496,,,,,
000686,58700,,,,,
3004,26787,,,,,
NST,446477,,,,,
NTRS,75155,,,,,
REDD,87221,,,,,
NPI,66017,,,,,
NOC,60304,,,,,
NWBI,50892,,,,,
NWN,10300,,,,,
NWE,21961,,,,,
NLOK,215722,,,,,
NRS,7675,,,,,
NCLH,138198,,,,,
NOFI,59949,,,,,
NOS,74161,,,,,
GNDI3,201506,,,,,
NOV,158081,,,,,
NVMI,10507,,,,,
NG,90139,,,,,
NOVT,12562,,,,,
NOVN,819369,,,,,
3034,217025,,,,,
NVTK,1548,,,,,
NVTK,410231,,,,,
NVAX,24083,,,,,
NOVO B,623821,,,,,
NVCR,39934,,,,,
NLMK,442494,,,,,
NZYM B,80873,,,,,
DNOW,36496,,,,,
NRG,98271,,,,,
NWH,174335,,,,,
138250,6400,,,,,
2327,12900,,,,,
9110,5100,,,,,
9759,26780,,,,,
300369,10497,,,,,
NSI,5963,,,,,
6471,163400,,,,,
6472,159100,,,,,
NTPC,1468875,,,,,
9613,249100,,,,,
